doc_id,path,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,top_topic,top_score
MM__MM_01_03_2019_0.txt,MM/MM_01_03_2019_0.txt,0.5001345112148046,0.0001821949710194252,0.00018220164008018517,0.00018219792138200625,0.00018220364507496353,0.2593835121339149,0.00018217920832132195,0.23920658135233294,0.00018223037050704534,0.0001821875425625056,topic_0,0.5001345112148046
MM__MM_01_04_2016_0.txt,MM/MM_01_04_2016_0.txt,0.3020178832798515,0.00021057435414844591,0.00021057968999807432,0.17657960755514676,0.1136152136966545,0.3323584271654238,0.00021057770719338443,0.0002105780770950509,0.04235936269130445,0.032227195783184094,topic_5,0.3323584271654238
MM__MM_01_05_2016_0.txt,MM/MM_01_05_2016_0.txt,0.11790661989106015,0.00022130376599348902,0.026859688498397448,0.2248758275485801,0.4013232325687625,0.22792815048453746,0.00022128733518411546,0.00022128680664111695,0.00022130356046478562,0.00022129954037880894,topic_4,0.4013232325687625
MM__MM_01_06_2016_0.txt,MM/MM_01_06_2016_0.txt,0.6681527185149604,0.00026183314528577446,0.0002618417078838788,0.10481010425988847,0.00026185375510660847,0.2095669446911452,0.00026185086939247565,0.00026185353079506994,0.01589914856791125,0.0002618509576309363,topic_0,0.6681527185149604
MM__MM_01_08_2016_0.txt,MM/MM_01_08_2016_0.txt,0.6492653738312149,0.00022681712063384773,0.1572585748814561,0.00022682489325653431,0.05780806173316577,0.00022681169951243658,0.00022680686844985082,0.1343071214320769,0.00022679726716448464,0.00022681027306933592,topic_0,0.6492653738312149
MM__MM_01_08_2016_1.txt,MM/MM_01_08_2016_1.txt,0.5662011745989548,0.3402207297556153,0.0014495943554892966,0.0014494468867199952,0.0014499203006652177,0.0014495492070619935,0.0834310044887552,0.0014494590097293527,0.001449630182498967,0.0014494912145096579,topic_0,0.5662011745989548
MM__MM_01_09_2018_0.txt,MM/MM_01_09_2018_0.txt,0.41779515444310555,0.11281654983332463,0.00015271029650279223,0.00015271906092865966,0.00015271566084306277,0.3677826446583679,0.00015271334545347156,0.06597865955827953,0.03486341749904846,0.00015271564414592504,topic_0,0.41779515444310555
MM__MM_01_10_2017_0.txt,MM/MM_01_10_2017_0.txt,0.2611690004937131,9.143714343404482e-05,0.027818453337327343,9.143379559520947e-05,9.143322376094527e-05,9.143198592043055e-05,9.142808037225355e-05,0.6924114108782975,0.018052538133454747,9.143292812449248e-05,topic_7,0.6924114108782975
MM__MM_01_11_2017_0.txt,MM/MM_01_11_2017_0.txt,0.5298735390357997,0.00020004080406947858,0.0002000568610505794,0.00020004771714736278,0.0002000513688406019,0.00020005387014356314,0.00020004484617973194,0.46852607636370514,0.0002000464169193737,0.00020004271614438904,topic_0,0.5298735390357997
MM__MM_01_11_2018_0.txt,MM/MM_01_11_2018_0.txt,0.0011767528315977847,0.0011766634833380032,0.0011766769845897936,0.16045708599043618,0.0011766860581549148,0.07971559460209107,0.0011765370665239106,0.0011767768807587388,0.0011765169270626294,0.751590709175447,topic_9,0.751590709175447
